"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.35265113312049","","","","","","","","","","5.12691200022804","","","","","","","","","","","","","","","4.99749731654337","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.664739798230536","","","","","","","","","","0.651664044324367","","","","","","","","","","","","","","","0.66296581745632","","","","","","","","","","",
"Afghanistan","AFG","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","",
"Africa Western and Central","AFW","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.11686750856866","","","","","","","","","","3.12939365051487","","","","","","","","","","","","","","","3.12516768362093","","","","","","","","","","",
"Angola","AGO","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.439385456246776","","","","","","","","","","0.671008144027738","","","","","","","","","","","","","","","1.53305214067655","","","","","","","","","","",
"Albania","ALB","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.51731386616514","","","","","","","","","","7.80516271462674","","","","","","","","","","","","","","","9.15110167982407","","","","","","","","","","",
"Andorra","AND","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","",
"Arab World","ARB","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.27961497445269","","","","","","","","","","6.4020238245681","","","","","","","","","","","","","","","6.63346365297432","","","","","","","","","","",
"United Arab Emirates","ARE","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.1573431510629","","","","","","","","","","29.1962510213329","","","","","","","","","","","","","","","26.7198219315291","","","","","","","","","","",
"Argentina","ARG","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.718817264065184","","","","","","","","","","0.886498602037018","","","","","","","","","","","","","","","1.02928663774484","","","","","","","","","","",
"Armenia","ARM","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","",
"American Samoa","ASM","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.33036288704485","","","","","","","","","","6.55380468180685","","","","","","","","","","","","","","","4.62737256653892","","","","","","","","","","",
"Antigua and Barbuda","ATG","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.843005722233","","","","","","","","","","13.3913028602081","","","","","","","","","","","","","","","12.1917757079868","","","","","","","","","","",
"Australia","AUS","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.62444640981595","","","","","","","","","","3.60544221770209","","","","","","","","","","","","","","","3.6013357263928","","","","","","","","","","",
"Austria","AUT","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","",
"Azerbaijan","AZE","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","",
"Burundi","BDI","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","",
"Belgium","BEL","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.24642727872254","","","","","","","","","","5.40094970684132","","","","","","","","","","","","","","","5.48301366791854","","","","","","","","","","",
"Benin","BEN","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.86795187519583","","","","","","","","","","7.95812004207279","","","","","","","","","","","","","","","7.25427232711727","","","","","","","","","","",
"Burkina Faso","BFA","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","",
"Bangladesh","BGD","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2742344619481","","","","","","","","","","9.41849968269525","","","","","","","","","","","","","","","8.38183750736477","","","","","","","","","","",
"Bulgaria","BGR","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15901270660048","","","","","","","","","","1.22764984173285","","","","","","","","","","","","","","","1.33967587036816","","","","","","","","","","",
"Bahrain","BHR","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.950573570193","","","","","","","","","","33.4543157238155","","","","","","","","","","","","","","","32.9847026314836","","","","","","","","","","",
"Bahamas, The","BHS","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7146980361444","","","","","","","","","","11.9554346917106","","","","","","","","","","","","","","","12.8571394251619","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0164393849956732","","","","","","","","","","0.0140847302389965","","","","","","","","","","","","","","","0.0137988235253632","","","","","","","","","","",
"Belarus","BLR","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","",
"Belize","BLZ","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.2880399469282","","","","","","","","","","32.0968795250775","","","","","","","","","","","","","","","33.8562563835843","","","","","","","","","","",
"Bermuda","BMU","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.45797024472045","","","","","","","","","","6.68111201031849","","","","","","","","","","","","","","","7.22995540717487","","","","","","","","","","",
"Bolivia","BOL","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","",
"Brazil","BRA","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.971544668105","","","","","","","","","","2.07385749148618","","","","","","","","","","","","","","","2.23302391070075","","","","","","","","","","",
"Barbados","BRB","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.457573752102","","","","","","","","","","2.13560874480788","","","","","","","","","","","","","","","2.20666381805887","","","","","","","","","","",
"Brunei Darussalam","BRN","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.8361015879814","","","","","","","","","","21.5009033629888","","","","","","","","","","","","","","","20.870967238675","","","","","","","","","","",
"Bhutan","BTN","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","",
"Botswana","BWA","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","",
"Central African Republic","CAF","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","",
"Canada","CAN","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5179836699866","","","","","","","","","","1.4831001712578","","","","","","","","","","","","","","","1.44116830882438","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2580961411449","","","","","","","","","","1.23449867349884","","","","","","","","","","","","","","","1.21399520986787","","","","","","","","","","",
"Switzerland","CHE","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","",
"Channel Islands","CHI","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00311984178062","","","","","","","","","","0.983982671284965","","","","","","","","","","","","","","","0.958467364431253","","","","","","","","","","",
"China","CHN","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.68486605091801","","","","","","","","","","4.09048250349438","","","","","","","","","","","","","","","4.87880231853816","","","","","","","","","","",
"Cote d'Ivoire","CIV","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.39865824890405","","","","","","","","","","3.32230675562722","","","","","","","","","","","","","","","3.26601676991083","","","","","","","","","","",
"Cameroon","CMR","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.29138613571209","","","","","","","","","","1.85262700699208","","","","","","","","","","","","","","","2.29087878478046","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0323773933216351","","","","","","","","","","0.0199152607971672","","","","","","","","","","","","","","","0.012774030558603","","","","","","","","","","",
"Congo, Rep.","COG","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.566248837544207","","","","","","","","","","1.04115162529172","","","","","","","","","","","","","","","0.944060135733029","","","","","","","","","","",
