Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/13/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Afghanistan,AFG,Total fisheries production (metric tons),ER.FSH.PROD.MT,200,300,300,300,300,300,300,400,400,460,460,560,560,560,560,660,770,770,770,770,870,870,870,970,970,970,970,1170,1170,1170,1400,1400,1500,1500,1600,1600,1600,1550,1500,1500,1300,1250,1350,1350,1450,1450,1450,2050,2050,2650,3250,4000,4780,5560,6360,7200,8050,9000,10000,10729,11444,12907,13150,13660,14170,
Africa Eastern and Southern,AFE,Total fisheries production (metric tons),ER.FSH.PROD.MT,1460720,1605979,1707424,1819366,2132462,2139349,2238939,2597600,3123476,3042054,2444150,2320263,2592383,2756923,2707283,2461625,2177519,2135628,2095937,1991792,1848267,1903342,1914250,2024319,1937660,1998075,2082807,2846210,2807300.314,2369039.033,2410476.2,2189744.755,2904012.309,2964643.358,2709218.077,2705468.743,2444407.551,2633232.83,2778358.377,2895289.442,3137960.911,3193333.067,3291979.334,3402056.747,3585000.754,3556827.15,3341975.7,3469186.2,3329346.85,3263148,3557919.24,3598632.376,4019685.574,3915131.369,4162210.659,4282409.37,4433710.339,4588626.055,4512102.35,4609980.995,4483268.747,4830187.287,4730010.859,5147235.072,5225102.969,
Africa Western and Central,AFW,Total fisheries production (metric tons),ER.FSH.PROD.MT,490510,516010,563130,585050,649470,683780,743500,794096,785606,854431,965445,1137494,1205714,1202019,1242038,1280159,1267715,1300543,1313224,1302736,1283409,1320095,1310400,1374979,1347215,1366119,1482119,1558305,1535925,1631167,1690833.04,1613000.1,1786325,1691018.994,1654300.995,1881027.674,2089975.373,2140340.97,2168907.2,2282005,2281073,2322833.887,2270837.3,2467605.162,2548473.903,2605960.98,2485685,2490858,2698832.142,2782200.2,2953451.851,3234187.781,3401681.891,3494400.132,3577562.404,3526381.895,3851313.091,4509114.799,4613925.466,4385001.642,4182087.406,4469290.565,4387554.778,4382221.013,4480290.403,
Albania,ALB,Total fisheries production (metric tons),ER.FSH.PROD.MT,2600,3200,2800,3000,3000,4000,4000,5000,6000,7000,8000,8000,8000,8000,8500,8500,8500,8500,9000,9000,9000,9376,9511,9815,8006,11399,11922.2,13134.4,14559.3,11961.4,15015.6,3871,3093.2,2889,2495,1720.3,2449.2,1110.8,2807.5,3057.9,3635,3597.2,4516.8,4274.6,6118.5,6473,7709.3,7505.4,7365,8128,7652.2,7150.2,12055.2,12673.094,12705.05,11350.1,12612.09,12993.2,14888.3,15012.5,16894.5,18484.5,17799.5,19338,16452,
Algeria,DZA,Total fisheries production (metric tons),ER.FSH.PROD.MT,25500,30400,21500,16900,17300,18300,20350,21150,18250,23150,24234,23715,28313,31243,35758,37693,35122,43475,34143,38678,48000,56000,64500,65002,65595.9,66141.6,65511.8,94367.8,106741.3,99555.424,90603.244,79852,95420.914,102199.971,135798.857,106247.666,82317.8,91907.4,92620,102649,113510.9,134082,134800.8,141376,114050.2,126628.3,146051.8,147768.131,141642.346,129940.232,95222.742,104060.63,108187.409,103165.884,100163.041,97131.179,101964.47,108342.605,122211.416,105388.55,76954.71,79427.261,108929.152,100512.026,97945.208,
American Samoa,ASM,Total fisheries production (metric tons),ER.FSH.PROD.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,100,82,136,113,202,193,183,148,153,112,112,152,118,181,78,123,102,42,50,60,40,132,176,225,448,610,554,851,3677,6949,5099,4051,4029,5367,6537,4442,4962,5140.815,3607.094,4391.981,2773.938,2368.068,2596.766,2222.967,2337.376,2047.983,1455.449,972.99,1211.746,1410.706,1266.92,1527.257,
Andorra,AND,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Angola,AGO,Total fisheries production (metric tons),ER.FSH.PROD.MT,257300,246800,274800,245300,362000,263300,335300,299300,303100,425200,374501,324322,606656,478659,399784,160581,81542,120407,125630,113072,85085,130957,111488,110376,95188,100093,84660,107490,126031,137465,133088,117104,113625,126200,132413,122781,137815,146304,163149,175799,239356,254564,255494,212105,240094,202742,225897,306626,306050,272302,310310,342310,374310,407057,442389,496104,487145,532914,444858,402947,376792,571352,541625.4,563140.905,631824.39,
Antigua and Barbuda,ATG,Total fisheries production (metric tons),ER.FSH.PROD.MT,600,800,800,800,700,800,800,800,800,800,900,900,1200,1500,1590,1601,1613,1821,1620,1219,1171,1157,950,1063,1465,2407,2400,1985,1488,990,875,1481,1692,1046,1100,1581,1439,1644,1680,1631,1728,1802,2348,2546,2478,2953,3049,3047,3397,2424,2227,3067,5969,4624,3135,3185,3185,3185,3185,3185,3135,3225,3250,3285,3305,
Arab World,ARB,Total fisheries production (metric tons),ER.FSH.PROD.MT,462380,492298,517170,527512,580375,578028,679726,625534,598421,618237,671488,689666,739107,908957,887238,853047,923555,897862,902013.9,930586.8,984641.1,1035961.079,1032569.642,1180691.236,1204263.869,1299668.987,1450131.544,1449631.047,1608729.653,1528721.324,1574791.062,1625921.552,1612847.814,1702304.317,1911662.471,2066046.681,1855241.21,2064088.505,2099864.696,2256381.483,2517910.93,2875004.997,2806580.971,2928820.721,3040614.972,3207018.614,3063415.942,3101263.222,3178098.01,3458093.091,3651273.962,3586776.633,4066004.446,4208700.625,4300531.944,4357569.086,4867441.943,5214477.025,5794611.41,5734758.518,5769719.24,6048127.045,5992509.19,5800822.504,5801085.921,
