Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/13/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.899999976,1.84,3.55,4,5,5.454500198,5.900000095,7,8.260000229,11,13.5,16.79999924,17.60000038,17.04850006,16.51429939,15.86629963,15.92840004,16.09499931,
Africa Eastern and Southern,AFE,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.9,2.7,3,3.5,5.3,6.8,8.4,10,12.1,14.3,16.3,17.3,19.6,21.6,23.5,25,26.8,27.8,28.8,30.4
Africa Western and Central,AFW,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.4,4.3,5,5.8,7.3,8.7,10.3,12.6,15,18.6,20.9,23.8,25.7,28.5,31.5,34.7,37.5,38.5,40,42.4
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0112,0.0322,0.0486,0.065,0.0814,0.114097347,0.325798377,0.390081273,0.971900415,2.420387798,6.043890864,9.609999657,15.03610039,23.86,41.2,45,47,49.40000153,51.79999924,54.29999924,56.90000153,59.59999847,62.40000153,65.40000153,68.55039112,72.23767711,79.32371752,82.61367544,83.13559161,85.86389923,
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.000361,0.00177,0.00174,0.0103,0.0202,0.2,0.491705679,0.646114017,1.59164126,2.195359731,4.634475088,5.843900204,7.375984956,9.451190626,10.18,11.23,12.5,14.89999962,18.20000076,22.5,29.5,38.20000076,42.94549942,47.69110107,49.03846808,55.79069901,63.47269821,72.21240234,74.78150177,76.19760132,77.4178009,
American Samoa,ASM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1.53,3.05,6.89,7.64,10.53883561,,11.26046872,13.54641288,26.83795439,37.60576622,48.936847,70.87,70.04,78.53,81,81,82.69999695,84.40000153,86.09999847,87.90000153,89.69999695,91.56746703,93.5,90.71869659,93.20570374,93.89749908,94.05169678,94.21499634,94.39759827,
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.000776,0.00567,0.0185,0.072,0.105045562,0.136013867,0.270376746,0.370682065,0.464814618,1.143399954,1.5,1.700000048,1.899999976,2.299999952,2.799999952,4.699999809,7.699999809,13,21.36234076,22,23.20000076,26,29,32.12939835,33.32089996,34.55649948,35.83800125,37.88589859,40.70479965,
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2.2,2.86,3.48,4.07,5.3,6.482225737,8.899285515,12.5,17.22864878,24.26654372,27,30,34,38,42,47,52,58,63.40000153,67.77999878,70,70.27159882,70.54419708,70.81790161,71.09259796,71.36840057,71.64530182,71.9233017,72.12409973,72.73040009,
Arab World,ARB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.00299,0.0295,0.0437,0.0863,0.142,0.28,0.831,3.28,7.038683086,9.780807285,10.88212438,11.91369655,16.03668411,17.72058337,20.9272021,25.94663294,28.11262348,34,45,51,55.79999924,59.90000153,64.69999695,68.04306411,70.96898082,74.29490687,77.7,79.94695203,85.51438646,87.15070683,88.37535691,89.22897166,89.66715228,
Armenia,ARM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.00912,0.0527,0.0946,0.112,0.129,0.971,1.300470022,1.631094667,1.960405046,4.575217225,4.899008571,5.252999783,5.631800175,6.021299839,6.21,15.30000019,25,32,37.5,41.9,54.62280586,59.10083377,64.34602977,64.74488433,68.24505226,66.54394969,76.50770055,78.61225758,77.02767465,79.99663036,81.33930206,
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,2.77,,,4.51,15.44282295,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74,78.9,83.78,88.66122693,93.54245387,97.17,,,,,,,,
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.585,1.1,1.77,1.97,2.23,2.76,3.28,16.4,30.8,40.8,46.75611561,52.68926643,,,,63,66,69.45,71.67,74.25,76,79.48769771,79,83.45349717,84,84.56051491,86.54000092,86.54504885,90.0082016,93.60990143,94.6934967,96.97219849,96.11940002,96.1160965,96.13140106,
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.259,0.643,0.765,1.39,1.89,6.91,9.53,15.4,23,33.73013295,39.18545018,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.7399931,80.02999392,80.6188,80.99582496,83.94014193,84.32374257,87.93558659,87.47913723,87.75220479,87.52942813,92.52915104,93.61409139,95.33467117,94.91974877,91.92573373
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.00143,0.00206,0.00635,0.0252,0.0375,0.0992,0.147757576,0.305564638,4.999713678,,,8.030400276,11.9921999,14.53999996,17.08,27.4,46,50,54.20000076,73.00000137,75.00001564,77,78.2,79,79.79999549,81.09999907,84.59999573,85.99998954,88,89,90.43979645,90.80000181
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.96,1.75,1.36,2.34,3.76,8,11.8,18,20,22,25,26,27,31.54,33.88,43,65,71.74819946,72,76.91999817,78,80,80.59999847,83,90.69329834,92.4437027,92.34980011,92.2559967,92.38729858,92.47270203,
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.346,0.843,1.65,3.22,4.72,6.153732546,15.03863425,18.05072089,21.55494499,21.45868051,21.30369949,28.24399948,32.91,51.95,53,55,76.9999665,88,90.0000397,90.50313348,93.4783008,97.9999807,95.87813575,98.64467258,99.70150438,99.67103159,100,100,100,100,
Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.000751,0.00368,0.0362,0.071039423,0.129807974,0.139920289,0.163877665,0.199036334,0.241600007,1,1.799999952,2.5,3.099999905,3.700000048,4.5,5,6.63,9.052900314,12.36880016,16.89909935,21.5,25.56509972,30.38310051,36.10910034,38.91744466,41.61650085,44.50274195,53.42171316,
Barbados,BRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.00775,0.389,0.783,1.97,2.38,3.973678355,11.93645034,27.83632242,39.68962712,49.8,52.5,55.29999924,58.20000076,61.40000153,64.69999695,65.09999847,66.5,71.19999695,71.80000305,71.92459869,72.04940033,71.57299805,71.14849854,70.72650146,70.30709839,69.89009857,69.4756012,69.06359863,69.67510223,70.36470032,
Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.000486,0.00292,0.0293,0.049,0.0739,0.495,1.860398126,4.300616022,8.950971315,,,,16.2,19.7,23,27.43,31.8,39.64889566,46.91,54.17,59.01631871,62.23036091,71.11304576,74.43644541,79.12988669,82.78915209,85.08791245,86.88841196,89.50733148,91.51249979,94.26182128,
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00101,0.0201,0.1,0.199,0.696,0.992,2.97,4.94,7.89,13.8,29.43169169,31.28839551,46.33,49.97,53.86,55.81999969,61.98187002,66.76042024,68.85732214,74.54414555,77.63978551,81.609996,80.71999055,82.1702,85.00123795,85.05294175,86.51647666,87.67968082,88.647343,90.27542801,91.52641629,92.78867618,94.00783071,94.62625074,95.77579144,
Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0454,0.883,1.29,2.09,4.08,5.963835303,,5.684251214,,9.8,17,24,24.60000038,26.29999924,27.20000076,28.2,30.70000076,31,33.59999847,38.70000076,41.59000015,44.57569885,48.8771019,53.59360123,58.76520157,64.43589783,70.65370178,69.98329926,70.18720245,80.00582262,
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.00169,0.0246,0.0479,0.155,0.225247851,0.36341789,0.702945595,0.951327115,1.182540965,1.271000028,1.537899971,1.79,1.85,2.24,3.13,4.148323066,4.5,4.900000095,6,11.25500011,14.5,18.7,19,20.50099945,22.12059975,28.20470047,30.53730011,32.39400101,33.98379898,
