Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/13/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505922166,0.48582996,0.429978118,0.407916806,0.383268482,0.018607536,0.018617487,0.018053934,0.018010582,0.017566258,0.017327777,0.017507704,0.017838596,0.016997399,0.019906853,0.020492088,0.020394903,0.021468749,0.017817463,0.014812973,0.012519791,0.018611754,0.023918579,0.022253007,0.018419333,0.02155386,0.029903188,0.034174938,0.039529461,,
Africa Eastern and Southern,AFE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.02725406,19.58454735,12.86780123,13.18811854,12.64673922,12.32657864,12.76480367,13.33689607,13.50966502,12.68814566,12.9160509,12.81189318,12.92378309,11.16104506,10.05176607,9.964362886,10.25603674,11.16495639,12.3879448,12.65479082,11.41599706,10.54617206,11.0093306,11.52451966,12.23067661,12.99678042,13.30765379,12.88812036,11.96773406,12.93022232,14.71942323,14.15163918,15.1040322,15.30593328,15.17912862,15.41729547
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.62789186,37.41885544,29.72106714,31.11485491,28.63596858,30.10501136,24.89227001,29.29750105,26.21006854,23.74366399,24.39087363,22.81066274,22.13704137,20.63432272,25.74031404,26.42019908,22.04289675,25.77397074,29.97558252,33.59761887,33.70143232,34.74324714,34.2931005,
Africa Western and Central,AFW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,15.59685056,16.40715783,17.19105335,18.54159138,18.14233658,22.5964841,24.64838857,26.33443174,25.56753073,24.29892256,24.40882319,24.19272832,24.13219542,25.11413793,25.4665329,25.50597627,26.31863495,26.98055772,23.53557706,20.70025154,22.81973873,29.69436116,27.51226389,23.85237875,23.37334345,22.34713652,22.05242074,22.60364278,23.70547516,22.13212592,20.51952496,20.33878452,19.61966635,19.19329248,20.17859605,20.62400593,20.4016018,20.55041886,23.44928473,25.4033896,25.64737622,25.37487268,24.32138103,22.78133398,21.92979281
Angola,AGO,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.386790604,10.00007685,10.36359145,8.565367317,8.441008978,8.616240422,7.818318033,10.36614746,10.09130686,9.556306022,9.696979324,10.3295507,11.47821589,13.66377233,14.45584244,14.70994169,13.19339173,12.32105082,15.10976747,16.8317968,19.43011702,20.90933694,21.55267099,25.24098539
Albania,ALB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.83744976,33.56166119,28.94131451,26.26104283,23.6225673,22.17901395,20.45240541,19.76391647,19.80762033,18.56307999,17.1247179,16.04157503,15.53254945,15.4221004,15.27922173,16.35860819,16.72022295,17.59136855,18.92481742,19.23775892,18.74716028,19.16719075,18.07907821,17.91555582,18.16039737,18.80613786,17.79322498,16.98447545,16.27423883,15.45190313,14.79726075
Andorra,AND,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.517055748,0.441953155,0.385887246,0.419117893,0.414741998,0.380576808,0.353522338,0.368796684,0.406917964,0.418928933,0.466508602,0.490560827,0.601164454,0.585558984,0.537623493,0.51342011,0.521999648,0.559538513,0.546367883,0.522633248,0.55944277,0.531844879,0.487491862,0.478492136,0.49084155,0.484029293
Arab World,ARB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,15.62796518,15.02799253,15.53503952,14.76379016,14.62280671,12.47114663,7.758087295,7.989929368,7.397086946,7.008889155,7.357440525,5.650906596,4.788616078,5.185887378,6.08795643,6.807123079,7.453221951,8.057224332,9.435554306,9.667766935,10.59357668,11.2314876,10.48982646,12.2222895,8.867597736,9.017306023,9.962408894,9.246949825,8.955631345,8.470919004,9.354865635,8.414933782,7.343282661,7.802194392,7.819513004,7.455833087,6.617140139,5.826876321,5.599184403,5.605331922,5.097258997,6.161219108,5.669337864,5.197917113,4.614440635,4.782799296,4.969828891,5.612936774,5.570416109,5.145317084,4.623715876,4.791670739,5.605484123,5.029685974,4.626745984,4.958130673,5.350567247,5.945453376
United Arab Emirates,ARE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,0.540660329,0.545058453,0.484661839,0.628854954,0.546916808,0.490293732,0.548185738,0.640528,0.730614821,0.842292487,0.925778897,1.18433041,1.142892582,1.197424691,1.192992066,1.058554049,1.297813402,1.378862939,1.481066382,1.830214611,1.787167081,1.792524323,2.003863309,2.180940774,2.33324699,2.262541493,2.238281794,2.203431425,1.927649692,1.665448142,1.395439991,1.094288859,0.976706776,0.82730549,1.036859999,0.732325154,0.650181657,0.627730308,0.631291108,0.625619165,0.716283676,0.740828105,0.753711715,0.705621194,0.73460048,0.962972913,0.890366137,0.740907379,0.764071418,0.769443753,
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,12.90416299,10.27875747,9.980386317,9.721276985,9.185809648,9.637560964,10.86588238,10.98486987,11.95252249,10.23083775,6.583910492,8.152170712,8.087142114,7.504427478,7.796277359,6.353505005,6.475522961,9.596156046,8.658324961,8.345976837,7.634307257,7.80040264,8.094358464,8.977868218,9.616065096,8.123676208,6.71649176,5.990787091,5.136826482,5.082668,5.351464616,5.610866113,5.221972109,5.25272257,4.457826102,4.679910944,4.568589609,10.20664671,10.32816694,8.362486613,7.938754274,6.935572294,7.452353945,7.318954597,5.273623466,7.132167448,6.998733771,5.781744207,6.052918437,6.712703513,5.156685903,6.26456582,5.231622377,4.537878897,5.318555997,6.357033676,7.291282496,6.541569405,5.846778604,5.806017109,5.532653881
